# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\SPS\VeekMT2_assignments.csv
# Generated on: Fri Oct 06 14:12:12 2023

Status,From,To,Assignment Name,Value,Enabled,Entity,Comment,Tag
Ok,,CLOCK2_50,I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,CLOCK3_50,I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,CLOCK_50,I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,CLOCK2_50,Location,PIN_AG14,Yes,,,
Ok,,CLOCK3_50,Location,PIN_AG15,Yes,,,
Ok,,CLOCK_50,Location,PIN_Y2,Yes,,,
Ok,,LEDG[0],I/O Standard,2.5 V,Yes,,,
Ok,,LEDG[1],I/O Standard,2.5 V,Yes,,,
Ok,,LEDG[2],I/O Standard,2.5 V,Yes,,,
Ok,,LEDG[3],I/O Standard,2.5 V,Yes,,,
Ok,,LEDG[4],I/O Standard,2.5 V,Yes,,,
Ok,,LEDG[5],I/O Standard,2.5 V,Yes,,,
Ok,,LEDG[6],I/O Standard,2.5 V,Yes,,,
Ok,,LEDG[7],I/O Standard,2.5 V,Yes,,,
Ok,,LEDG[8],I/O Standard,2.5 V,Yes,,,
Ok,,LEDR[0],I/O Standard,2.5 V,Yes,,,
Ok,,LEDR[1],I/O Standard,2.5 V,Yes,,,
Ok,,LEDR[2],I/O Standard,2.5 V,Yes,,,
Ok,,LEDR[3],I/O Standard,2.5 V,Yes,,,
Ok,,LEDR[4],I/O Standard,2.5 V,Yes,,,
Ok,,LEDR[5],I/O Standard,2.5 V,Yes,,,
Ok,,LEDR[6],I/O Standard,2.5 V,Yes,,,
Ok,,LEDR[7],I/O Standard,2.5 V,Yes,,,
Ok,,LEDR[8],I/O Standard,2.5 V,Yes,,,
Ok,,LEDR[9],I/O Standard,2.5 V,Yes,,,
Ok,,LEDR[10],I/O Standard,2.5 V,Yes,,,
Ok,,LEDR[11],I/O Standard,2.5 V,Yes,,,
Ok,,LEDR[12],I/O Standard,2.5 V,Yes,,,
Ok,,LEDR[13],I/O Standard,2.5 V,Yes,,,
Ok,,LEDR[14],I/O Standard,2.5 V,Yes,,,
Ok,,LEDR[15],I/O Standard,2.5 V,Yes,,,
Ok,,LEDR[16],I/O Standard,2.5 V,Yes,,,
Ok,,LEDR[17],I/O Standard,2.5 V,Yes,,,
Ok,,LEDG[0],Location,PIN_E21,Yes,,,
Ok,,LEDG[1],Location,PIN_E22,Yes,,,
Ok,,LEDG[2],Location,PIN_E25,Yes,,,
Ok,,LEDG[3],Location,PIN_E24,Yes,,,
Ok,,LEDG[4],Location,PIN_H21,Yes,,,
Ok,,LEDG[5],Location,PIN_G20,Yes,,,
Ok,,LEDG[6],Location,PIN_G22,Yes,,,
Ok,,LEDG[7],Location,PIN_G21,Yes,,,
Ok,,LEDG[8],Location,PIN_F17,Yes,,,
Ok,,LEDR[0],Location,PIN_G19,Yes,,,
Ok,,LEDR[1],Location,PIN_F19,Yes,,,
Ok,,LEDR[2],Location,PIN_E19,Yes,,,
Ok,,LEDR[3],Location,PIN_F21,Yes,,,
Ok,,LEDR[4],Location,PIN_F18,Yes,,,
Ok,,LEDR[5],Location,PIN_E18,Yes,,,
Ok,,LEDR[6],Location,PIN_J19,Yes,,,
Ok,,LEDR[7],Location,PIN_H19,Yes,,,
Ok,,LEDR[8],Location,PIN_J17,Yes,,,
Ok,,LEDR[9],Location,PIN_G17,Yes,,,
Ok,,LEDR[10],Location,PIN_J15,Yes,,,
Ok,,LEDR[11],Location,PIN_H16,Yes,,,
Ok,,LEDR[12],Location,PIN_J16,Yes,,,
Ok,,LEDR[13],Location,PIN_H17,Yes,,,
Ok,,LEDR[14],Location,PIN_F15,Yes,,,
Ok,,LEDR[15],Location,PIN_G15,Yes,,,
